CallNo,Barcode,Title,Author,Publisher Code,Year,ISBN,Edition,Pages,Library,Subject
379.1214 BHO,120650,Encyclopaedia Of UGC  Twelfth Plan,Bhoye P.J.,"Cyber Tech Publications,",2014.0,9789350533321,,"viii, 243 p.:",UG Library,Education
306.30973 CRO,05046216,Consumed nostalgia :,"Cross, Gary S.","Columbia university press,",2015,9780231167581 (cloth : alk. pa,,296p.;,Knowledge Centre,Sociology
514 KAS,5033548.0,Undergraduate topology /,"Kasriel, Robert H.","Dover Publications,",2009.0,9780486474199 | 0486474194,Dover ed.,"xiii, 285 p. :",Knowledge Centre,Mathematics
641.5941 FAR,48528,Traditional British Cooking,Farrow Joanna,Ebury Press,1995.0,,,80 p.:,UG Library,Hotel Management
345.42001 SIM,01014423,Criminal Law :,"Simester,A. P","Hart Publishing ,",2007,9781841137056 | 9781841139227,4th ed.,791p.,Knowledge Centre,Law
345.0268 VAI,05044559,Cyber Crime and Law in the Information Technology /,"Vaodya, Asmita A","A K Publications,",2012,9789380164670,,260 p.,Knowledge Centre,Law
346.540436 KEE,01009456,Commentary on Transfer of Property Act 1882 (law Lib),Jayasankar Keezhayi,Sun Publications,,,,544p,Knowledge Centre,Law
621.3827  RAM,4000106,Optical Networks /,"Ramaswami, Rajiv","Morgan Kaufmann Publishers,",2008.0,9788181472076,,831p. :,Knowledge Centre (Kengeri),Electronic & Communication
370.157 ASM,114768,Creativity of B.Ed Teacher-Trainees,"Asma, Noor",Discovery Publishing House,2004.0,8171418279,,170 p.,UG Library,Education
338.4791068 MUR,7003046.0,Strategic Management for Tourism Communities : Bridging the Gaps.,"Murphy, Peter E","Viva Books Pvt, Ltd ;",2006,0813090179,,448p.:,Library - BR Campus,Economics
364 AHU,00141467,Criminology,"Ram, Ahuja","Rrawat,",2018.0,8170336090 | 9788170336099,,411 p.;,UG Library,Life Sciences
343.2408 TRY,01023259,The impact of Union citizenship on the EU's market freedoms /,"Tryfonidou, Alina,","Hart Publishing,",2016,9781849461672 (hardback : alk.,,"xxiv, 259 pages ;",Knowledge Centre,Law
321.80954 SDSA,1008496.0,State of democracy in South Asia /,,"Oxford University Press,",2008,9780195689372 (pbk.) | 0195689,,"ix, 302 p.",Knowledge Centre,Political Science
343.54052 SIN,01020396,Students' Guide to Income Tax /,"Singhania, Dr Vinod K","Taxmann Publications P Ltd.,",2014,9789350714485 | 9789350714492,51st ed.,2 Volumes,Knowledge Centre,Law
8K0  SUR,116236,à²¶à³à²à³à²·à²£à²¿à²  à²®à²¨à³à²µà²¿à²à³à²à²¾à²¨à²¦  à²®à³à²²à²¾à²à²¶à²à²³à³ (Shaikshanika Manovignanada Moolamshagalu),"à²¸à³à²°à³à²¶à³,  à²à³ . à²à² . (Suresh, K. M.)","Narayanan Malkod,",2006,,1st Ed.,254 p.;,UG Library,Languages
332 SUN,2335.0,"Money, Banking and International Trade",Sundharam K P M,Sultan Chand &amp; Sons Publishers,1971,,,532 p,UG Library,Economics
193 SIN,00106522,Understanding Hegelianism,"Sinnerbrink, Robert.","Acumen,",2007,9781844650934 (hbk.) | 1844650,,"xii, 228 p. ;",UG Library,Philosophy &Theology
337 NOR,5010074.0,In Defence of Global Capitalism [m.A.Eco],"Norberg, Johan",Academic Foundation,,8171884156,,311p,Knowledge Centre,Economics
539 GRI,68789,In Search Of Schrodinger's Cat,"Gribbin,John.",Black Swan,1984.0,0055055255 | 9780552125550,,302 p.,UG Library,Physics
153.8 DWE,3009257.0,Mindset :,"Dweck, Carol S.,","Ballantine Books,",2008.0,9780345472328 (pbk.),Ballantine Books trade pbk. ed.,"x, 277 p. ;",School of Business Management (Kengeri),Psychology
330 MAN,5074687.0,Principles of Economics.,"Mankiw, N. Gregory.","Cengage Learning India Pvt Ltd,",2024,978-93-5573-411-2,8th ed.,"xxviii, 791 p. ;",Knowledge Centre,Economics
425 MAC,00013031,Exercises in English Patterns &amp; usage,"Mackin, Ronald",Oxford University Press,1962,,,54 p.:,UG Library,English
347.954 CHA,05038691,The informal constitution :,"Chandrachud,Abhinav.","Oxford University Press,",2014,9780198098560,,"xiii,303p.;",Knowledge Centre,Law
571.6 TUR,00142466,Cell biology and translational medicine volume 7 stem cells and therapy:,"Turksen,Kursad","Springer,",2020.0,9783030378448,,"viii,153p.;",UG Library,Life Sciences
629.8312 NIS,4013021,Control Systems Engineering /,"Nise, Norman S",Wiley India ;,2011.0,9788126521531,5th ed.,861 p.:,Knowledge Centre (Kengeri),Electronic & Communication
621.4022 RAT,04010239,Engineering heat and mass transfer /,"Rathore, Mahesh M.","University Scince Press,",2015,9788131806135,,1152 p. :,Knowledge Centre (Kengeri),Mechanical
320.1 POP,1007262.0,Open Society and Its Enemies /,Karl Popper,"ROUTLEDGE,",2007,9780415278423,,2v.;,Knowledge Centre,Political Science
720.92 DEN,120154,Dialogues with Indian Master Architects,Dengle Narendra,Marg Foundation,2015.0,9.78938E+12,,207p.,UG Library,Architecture
323 MUR,1009793.0,The role of National Human Rights Institutions at the international and regional levels :,"Murray, Rachel,","Hart,",,9781841133942 (hbk.) | 1841133,,"viii, 137 p. ;",Knowledge Centre,Political Science
823 PUZ,129809,The Fourth K,"Puzo, Mario","Pan Books,",2000,9781447265474,,501 p. :,UG Library,Fiction
791.4372 THO,7009490,The science of Interstellar /,"Thorne, Kip S.,",W W Norton &amp; company Inc.,2014.0,9780393351378 (pbk) | 03933513,First edition.,"x, 324 pages :",Library - BR Campus,Performing Arts
511.1 KOL,4001669.0,Discrete Mathematical Structures,"Kolman,",Pearson Education,2008.0,8129708000 | 9788131724972 | 9,,555p,Knowledge Centre (Kengeri),Mathematics
720.973 HAN,8000411,Hanrahan + Meyers Architects :,Hanrahan,"John Wiley Academy,",2002.0,9780471496526,,128p. :,Knowledge Centre (Kengeri),Performing Arts
651.1 RAG,01016209,Games Indians Play :,"Raghunathan,V.","Penguin Books,",2006.0,9780143063117,,"xiv,170p.;",Knowledge Centre,Commerce
300.723 IAR,05002241,"Power of Survey Design:A User`s Guide for Managing Surveys, Interpreting Results, and Influencing Respondents","Iarossi, Giuseppe","The World Bank ,",2006,0821363921,,262p.;,Knowledge Centre,Sociology
344.73041 ALL,01019862,Health law &amp; medical ethics for healthcare professionals /,"Allen, James F.","Pearson,",2013,9780135027998 (softbound) | 01,,"xxii, 242 p. :",Knowledge Centre,Law
346.54059MAL,01006708,GOYLE`S:THE LAW OF TRUSTS,M R Mallick,Eastern Law House,,9788171771981,,588p.,Knowledge Centre,Law
